Ubicazione;Data_avvio_primo_Proc;TipoVia;DescrizioneVia;Civico;Bar;CodiceVia;ZD;durata_attivita_tipo;insegna;numero_addetti;posto_speciale_cf;attivita_prevalente;settore_merceologico;settore_storico_n;settore_storico_preval;settore_storico_s;superficie_vendita
VIA MAMBRETTI ANTONIO N. 29 , isolato:112, accesso: accesso esterno, (z.d. 8);19/05/1993;VIA ;MAMBRETTI ANTONIO;29;;7455;8;;salina albera;;;;non alimentare;;mobili;xiv prodotti per la casa,xii-radio e tv,xii-elettrodomestici,xii-materiale elettrico,xii sub 1,xiv prodotti per l'edilizia,x;260
VIA MEDA GIUSEPPE N. 11 , isolato:130, accesso: accesso interno, (z.d. 5);01/01/2000;VIA ;MEDA GIUSEPPE;11;;5242;5;;;;;;non alimentare;;autoveicoli;xiv sub 10;350
VIA LORENTEGGIO N. 27 , isolato:152, accesso: accesso esterno, (z.d. 6);01/01/2000;VIA ;LORENTEGGIO;27;;5132;6;;;;;;non alimentare;;accessori e ricambi auto-moto;xiv sub 10;350
VIA SODERINI LUIGI N. 54 , isolato:069, accesso: accesso esterno, (z.d. 6);02/03/1990;VIA ;SODERINI LUIGI;54;;6675;6;;;;;;non alimentare;;autoveicoli;xiv sub 10;800
VIA DELL' INNOMINATO N. 2 , isolato:082, accesso: accesso esterno, (z.d. 5);31/03/1993;VIA ;DELL' INNOMINATO;2;;5414;5;;varco spa.;;;;non alimentare;"autoveicoli 
";autoveicoli;settore non alimentare;664
VIA SANT' ARNALDO N. 26 centro strada, isolato:063, pto strada:cs, accesso: accesso esterno, (z.d. 9);19/07/1994;VIA ;SANT' ARNALDO;26;;1663;9;;;;;;non alimentare,tabella speciale carburanti;;carburanti e lubrificanti;speciale distrib. carburante,xiv sub 10;600
VIA GALLARATE N. 40 centro strada, isolato:228, pto strada:cs, accesso: accesso esterno, (z.d. 8);01/01/2000;VIA ;GALLARATE;40;;7420;8;;;;;;tabella speciale carburanti;;in attesa di revoca;speciale distrib. carburante;800
VIA DUPRE' GIOVANNI N. 14 , isolato:292, accesso: accesso esterno, (z.d. 8);11/12/2006;VIA ;DUPRE' GIOVANNI;14;;7252;8;;;;;;non alimentare;"auto nuove e usate - ricambi 
";in attesa di revoca;settore non alimentare;800
VIA VODICE N. 3 , isolato:252, accesso: accesso esterno, (z.d. 7);01/01/2000;VIA ;VODICE;3;;6552;7;;;;;;non alimentare;;autoveicoli;xiv sub 10;375
VLE LANCETTI VINCENZO N. 17 , isolato:103, accesso: accesso esterno, (z.d. 9);10/02/1992;VLE ;LANCETTI VINCENZO;17;;1221;9;;;;;;non alimentare;;autoveicoli;xiv sub 10;1000
VLE CERTOSA N. 9 , isolato:335, accesso: accesso esterno, (z.d. 8);24/04/1991;VLE ;CERTOSA;9;;7174;8;;;;;;non alimentare;;autoveicoli;xiv sub 10;600
VIA PETITTI CARLO ILARIONE N. 5 , isolato:330, accesso: accesso esterno, (z.d. 8);01/01/2000;VIA ;PETITTI CARLO ILARIONE;5;;7161;8;;;;;;non alimentare;;autoveicoli;xiv sub 10;270
VIA GATTAMELATA N. 41 , isolato:328, accesso: accesso esterno, (z.d. 8);26/10/1989;VIA ;GATTAMELATA;41;;7156;8;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma)attivita' prevalente:commercio di autoveicoli 
";autoveicoli;settore non alimentare;1330
CSO ITALIA N. 40 ,via molino delle armi 004, isolato:476, accesso: accesso esterno, (z.d. 1);02/07/1992;CSO ;ITALIA;40;;526;1;;;;;;non alimentare;;mobili;xii sub 1;292
VIA DEL DUCA CINO N. 12 ,via del duca cino 012, isolato:191, accesso: accesso esterno, (z.d. 1);01/01/2000;VIA ;DEL DUCA CINO;12;;362;1;;;;;;non alimentare;;mobili;x,xii sub 1,xiii (cont.antec. d.m. 375/88),xii sub 3,xiv sub 42;300
PAS DUOMO N. 2 ,pas duomo 002, isolato:436, accesso: accesso interno, (z.d. 1);08/07/1994;PAS ;DUOMO;2;;102;1;;;;;;non alimentare;;pellicceria;xiv sub 56,x,ix (cont.antec. d.m. 375/88),xiv sub 55,xiv sub 18,xiv sub 12,xi (cont.ant. d.m. 375/88);600
CSO MATTEOTTI GIACOMO N. 11 ,cso matteotti giacomo 011, isolato:263, accesso: accesso esterno, (z.d. 1);01/01/1988;CSO ;MATTEOTTI GIACOMO;11;;218;1;;boss hugo boss;;;;non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";abbigliamento uomo;settore non alimentare;420
VIA ANDEGARI N. 18 ,via andegari 018*, accesso: accesso esterno, (z.d. 1);01/01/1989;VIA ;ANDEGARI;18;;120;1;;frette;;;;non alimentare;"(con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) - attivita' prevalente: vendita di prodotti tessili e biancheria per la casa - abbigliamento e accessori. 
";articoli tessili per arredamen;settore non alimentare;480
VIA SOLFERINO N. 39 , isolato:006, accesso: accesso interno, (z.d. 1);01/01/2000;VIA ;SOLFERINO;39;;1028;1;;;;;;non alimentare;;autoveicoli;xiv sub 10;1200
VIA DE AMICIS EDMONDO num.020/22, isolato:220, accesso: accesso esterno, (z.d. 1);17/09/1997;VIA ;DE AMICIS EDMONDO;20;22;574;1;;saro;;;;non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";autoveicoli;settore non alimentare;440
VIA BODONI GIAMBATTISTA N. 2 , isolato:299, accesso: accesso esterno, (z.d. 8);01/01/2000;VIA ;BODONI GIAMBATTISTA;2;;7261;8;;;;;;non alimentare;;abbigliamento;xiv-filati,xi (cont.ant. d.m. 375/88),x,ix (cont.antec. d.m. 375/88);356
PLE SUSA N. 12 , isolato:214, accesso: accesso esterno, (z.d. 4);08/06/1995;PLE ;SUSA;12;;3101;4;;frigerio gomme;;;;non alimentare;;pneumatici;xiv sub 10;400
VIA GOZZI GASPARE N. 5 , isolato:183, accesso: accesso esterno, (z.d. 3);22/03/2000;VIA ;GOZZI GASPARE;5;;3104;3;;susa auto silo;;interni aziende, fabbriche e simili;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: vendita autoveicoli 
";accessori e ricambi auto-moto;settore non alimentare;800
VIA AMADEO GIAN ANTONIO N. 40 , isolato:200, accesso: accesso esterno, (z.d. 3);01/01/2000;VIA ;AMADEO GIAN ANTONIO;40;;3228;3;;;;;;non alimentare;;ferramenta e ottonami;xii sub 2,xiv sub 22,xiv sub 1,xiii (cont.antec. d.m. 375/88),xiv sub 16,xii sub 3;360
CSO BUENOS AIRES N. 64 , isolato:027, accesso: accesso esterno, (z.d. 3);03/12/1993;CSO ;BUENOS AIRES;64;;2129;3;;euromics galimberti;;;;non alimentare;"(con esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: elettrodomestici radio tv 
";radio tv, elettrodom,app.radio;settore non alimentare;1100
PZA OTTO NOVEMBRE N. 6 , isolato:149, accesso: accesso esterno, (z.d. 3);01/01/2000;PZA ;OTTO NOVEMBRE;6;;2187;3;;;;;;non alimentare;;casalinghi;xiv ferramenta,xiv-attr.macch.art.tecn.ind.,xiv sub 1,xii sub 2,xii sub 3;267
VIA FILZI FABIO N. 8 , isolato:310, accesso: accesso esterno, (z.d. 2);01/01/2000;VIA ;FILZI FABIO;8;;1190;2;;;;;;non alimentare;;in attesa di revoca;xii sub 3,xiv sub 42,xiii (cont.antec. d.m. 375/88),x,xii sub 1;800
VIA MONTE SAN GABRIELE N. 8 , isolato:180, accesso: accesso esterno, (z.d. 2);16/02/2009;VIA ;MONTE SAN GABRIELE;8;;2481;2;;;;;;non alimentare;;autoveicoli;settore non alimentare;420
VIA FERRUCCI FRANCESCO N. 2 , isolato:085, accesso: accesso esterno, (z.d. 8);01/01/2000;VIA ;FERRUCCI FRANCESCO;2;;7150;8;;;;;;non alimentare;;autoveicoli;xiv sub 10;310
PTA GIORDANO UMBERTO N. 4 aff.za tacitamente rinnovabile,pta giordano umberto 004, isolato:264, accesso: accesso esterno, (z.d. 1);01/01/1989;PTA ;GIORDANO UMBERTO;4;;345;1;;;;;;non alimentare;": cine foto ottica. con esclusione dei prodotti per la cui vendita e' prevista l'attivita' di persona munita di speciale abilitazione, secondo le norme della l. 23.06.1927 n.1264 e relativo regolamento di esecuzione r.d. 31.05.1928 n.1334. 
,,,,,,,";profumeria;xiv prodotti vari,settore non alimentare,xii sub 3,x,ix,xiv prod. sport e tempo libero,xiv prodotti per la casa,xiv prodotti per la persona;390
VLE CERTOSA N. 177 , isolato:222, accesso: accesso esterno, (z.d. 8);22/10/1992;VLE ;CERTOSA;177;;7174;8;;elettrica ceriani/murrina;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: vendita al dettaglio materiale elettrico 
";elettricita' e idraulica;settore non alimentare;391
VIA ROMBON N. 97 num.096, accesso: accesso esterno, (z.d. 3);29/03/1990;VIA ;ROMBON;97;;2659;3;;;;;;non alimentare;;fiori e piante;xiv sub 5,xii sub 2,xiv sub 14 (a e b),xiv-attr.macch.art.tecn.ind.;600
VIA ZANELLA GIACOMO N. 36 , isolato:253, accesso: accesso esterno, (z.d. 4);06/06/2008;VIA ;ZANELLA GIACOMO;36;;3257;4;;;;;;non alimentare;;mobili;settore non alimentare;378
VIA GIOIA MELCHIORRE N. 62 , isolato:240, accesso: accesso esterno, (z.d. 2);01/01/2000;VIA ;GIOIA MELCHIORRE;62;;1108;2;;;;;;non alimentare;;libreria;xiv sub 3,xiv sub 9,xii sub 3;320
VIA PELLINI EUGENIO N. 3 , isolato:123, accesso: accesso esterno, (z.d. 2);01/01/2000;VIA ;PELLINI EUGENIO;3;;1482;2;;;;;;non alimentare;;mobili;xii sub 1,xiv sub 36,x,xiv sub 42;396
VLE MONZA N. 23 , isolato:346, accesso: accesso esterno, (z.d. 2);03/04/2001;VLE ;MONZA;23;;2274;2;;mobili vercesi;;;;non alimentare;"con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: commercio di mobili per l'arredamento in genere e loro complementi 
";mobili;settore non alimentare;395
VIA ARONA N. 4 , isolato:040, accesso: accesso esterno, (z.d. 8);01/01/2000;VIA ;ARONA;4;;7169;8;;;;;;non alimentare;;mobili;xii sub 1,x,xii sub 3,xii sub 2;490
VIA DURINI N. 16 ,via durini 018, isolato:318, accesso: accesso esterno, (z.d. 1);11/12/1990;VIA ;DURINI;16;;313;1;;;;;;non alimentare;;mobili;xii sub 1,xii sub 3,xii sub 2;600
VIA SPADARI N. 1 ,via spadari 001, isolato:440, accesso: accesso esterno, (z.d. 1);19/04/1991;VIA ;SPADARI;1;;518;1;;bershka;;;;non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";abbigliamento;settore non alimentare;384
CSO MATTEOTTI GIACOMO N. 14 ,cso matteotti giacomo 014, isolato:316, accesso: accesso esterno, (z.d. 1);03/06/1997;CSO ;MATTEOTTI GIACOMO;14;;218;1;;;;;;alimentare,non alimentare;;articoli in gomma e plastica;xiv prodotti per l'edilizia,xii sub 1,xiv prod. sport e tempo libero,vi,xii sub 2,xiv prodotti per la casa,xiv prod.meccanica strum e att;384
VIA SAN SISTO N. 9 ,via san sisto 009, isolato:335, accesso: accesso esterno, (z.d. 1);11/06/1990;VIA ;SAN SISTO;9;;513;1;;meazza;;;;non alimentare;;ferramenta e ottonami;xii-elettrodomestici,x,xii-materiale elettrico,xiv prodotti per l'edilizia,xiv prod.meccanica strum e att,xiv prodotti per la casa,xii-radio e tv,xii sub 1,xii sub 2;470
CSO VENEZIA N. 14 ,cso venezia 014, isolato:190, accesso: accesso esterno, (z.d. 1);16/09/1988;CSO ;VENEZIA;14;;238;1;;;;;;non alimentare;;mobili;xiv sub 25,xii sub 3,x,xii sub 1,xiv sub 19,ix,xii sub 2;1435
VIA DURINI N. 28 ,via durini 028, isolato:318, accesso: accesso interno, (z.d. 1);21/11/1991;VIA ;DURINI;28;;313;1;;;;;;non alimentare;;mobili;x,xii sub 1;872
VIA MONTE NAPOLEONE N. 11 ,via monte napoleone 011, isolato:314, accesso: accesso esterno, (z.d. 1);01/01/2000;VIA ;MONTE NAPOLEONE;11;;219;1;;;;;;non alimentare;;mobili;xii sub 3,xii sub 2,x,xii sub 1;800
VIA SANTA MARIA ALLA PORTA N. 1 ,vlo santa maria alla porta 001, isolato:346, accesso: accesso esterno, (z.d. 1);03/12/1991;VIA ;SANTA MARIA ALLA PORTA;1;;620;1;;ader;;;;Non Alimentare;;abbigliamento uomo;ix,x;397
VIA SAN SIRO N. 31 , isolato:173, accesso: accesso interno, (z.d. 7);01/01/2000;VIA ;SAN SIRO;31;;6282;7;;;;;;non alimentare;;nautica;xiv sub 10,xiii (cont.antec. d.m. 375/88);350
VIA VOLTERRA N. 12 sopralluogo spac 07/09/2006, isolato:250, accesso: accesso esterno, (z.d. 7);01/01/2000;VIA ;VOLTERRA;12;;6260;7;;;;;;non alimentare;;in attesa di revoca;xiv sub 10,xiv sub 6;540
VIA SAVONA N. 25 (z.d. 5);15/12/1992;VIA ;SAVONA;25;;5122;6;;;;;;non alimentare;;;xiv-porte blindate;265
VIA VIGEVANO N. 22 , isolato:052, accesso: accesso esterno, (z.d. 6);04/12/1989;VIA ;VIGEVANO;22;;5116;6;;fontana arredamenti;;;;non alimentare;"(con l'esclusione dei prodotti poer i quali Š previsto per legge uno specifico diploma) attivita' prevalente:commercio di mobili, arredamenti, complementi e accessori per l'arredamento 
";mobili;settore non alimentare;256
VLE TIBALDI N. 3 , isolato:160, accesso: accesso esterno, (z.d. 5);22/01/1992;VLE ;TIBALDI;3;;5234;5;;;;;;non alimentare;;mobili;xii sub 1;280
VIA ROSSI PELLEGRINO N. 15 , isolato:182, accesso: accesso esterno, (z.d. 9);28/05/1993;VIA ;ROSSI PELLEGRINO;15;;1510;9;;;;;;non alimentare;;lampadari;xii sub 3;300
VIA F.LLI BRONZETTI N. 37 , isolato:040, accesso: accesso esterno, (z.d. 4);06/12/1988;VIA ;F.LLI BRONZETTI;37;;3089;4;;darty;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: commercio elettronica 
";apparecch. elettroniche;settore non alimentare;986
VIA NOVARA N. 127 , isolato:038, accesso: accesso esterno, (z.d. 7);01/01/2000;VIA ;NOVARA;127;;6624;7;;;;;;non alimentare;;radio tv, elettrodom,app.radio;xii sub 3,xiii (cont.antec. d.m. 375/88),xii sub 1;286
VIA DEI CROLLALANZA N. 4 , isolato:067, accesso: accesso esterno, (z.d. 6);08/04/1991;VIA ;DEI CROLLALANZA;4;;5311;6;;;;;;non alimentare;"prodotti di meccanica strumenti e attrezzature 
";autoveicoli;settore non alimentare;800
VIA VALTELLINA N. 17 , isolato:105, accesso: accesso interno, (z.d. 7);07/07/1994;VIA ;VALTELLINA;17;;1188;9;;;;;;non alimentare;;elettricita' e idraulica;xiv sub 6,xiv sub 1,xiv sub 15,xiv;358
VIA MACCHI MAURO N. 42 , isolato:031, accesso: accesso interno, (z.d. 2);01/01/2000;VIA ;MACCHI MAURO;42;;2133;2;;;;;;non alimentare,tabella speciale monopolio;;radio tv, elettrodom,app.radio;xii sub 3,xiv sub 38,xii sub 2,xiv sub 12,xiv sub 2,xiv sub 13 (a e b),spec.privativa(ant.dm 375/88),xiii (cont.antec. d.m. 375/88);350
VIA ASTESANI ALESSANDRO N. 17 , isolato:100, accesso: accesso esterno, (z.d. 8);19/11/1990;VIA ;ASTESANI ALESSANDRO;17;;1558;9;;;;;;;;mobili;;370
VLE AFFORI N. 19 , isolato:145, accesso: accesso esterno, (z.d. 9);01/01/2000;VLE ;AFFORI;19;;1545;9;;;;;;non alimentare;;mobili;xiv sub 42,x,xii sub 1,xiv sub 36;450
VIA CASARSA N. 9 , isolato:056, accesso: accesso interno, (z.d. 9);01/01/2000;VIA ;CASARSA;9;;1577;9;;;;;;non alimentare;;mobili;x,xii sub 1;476
FOR BUONAPARTE N. 53 ,for buonaparte 053, isolato:238, accesso: accesso esterno, (z.d. 1);26/09/1990;FOR ;BUONAPARTE;53;;711;1;;buffwtti;;;;non alimentare;;cartolibreria;xiii (libri),xiv prod.meccanica strum e att,xiv prodotti per la casa;400
PZA DEL LIBERTY N. 8 ,pza del liberty 008, isolato:361, accesso: accesso esterno, (z.d. 1);07/03/1998;PZA ;DEL LIBERTY;8;;98;1;;ferrari;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specificodiploma) attivita' prevalente: vendita di abbigliamento , calzature, intimo, orologi, occhiali per lo sport e il tempo libero 
";abbigliamento;settore non alimentare;596
LGO TREVES CLAUDIO N. 2 , isolato:247, accesso: accesso esterno, (z.d. 3);23/03/1994;LGO ;TREVES CLAUDIO;2;;1026;1;;argenteria dabbene;;;;non alimentare;;argenteria;xiv sub 9,xiv sub 4,xiv sub 36,xiv sub 12,xiv sub 26;280
CSO SEMPIONE N. 43 , isolato:083, accesso: accesso esterno, (z.d. 8);18/10/1989;CSO ;SEMPIONE;43;;7137;8;;piaggio;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente:vendita di motocicli e motocarri 
";motocicli;settore non alimentare;434
VLE MONZA N. 204 , isolato:102, accesso: accesso esterno, (z.d. 2);06/02/2003;VLE ;MONZA;204;;2274;2;;castoldi;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita'prevalente: commercio al dettaglio di elettrodomestici radio - televisione - mobili per cucina - bagni-casalinghi . ecc 
";radio tv, elettrodom,app.radio;settore non alimentare;956
VLE MONZA N. 237 , isolato:099, accesso: accesso esterno, (z.d. 2);02/02/1991;VLE ;MONZA;237;;2274;2;;;;;;non alimentare;;casalinghi;xiv sub 31,xii sub 3,xii sub 2,xiv-attr.macch.art.tecn.ind.,xiv sub 16;414
VIA SAN SISTO N. 3 ,via san sisto 003, isolato:335, accesso: accesso esterno, (z.d. 1);10/06/1991;VIA ;SAN SISTO;3;;513;1;;il bagno ideale;;;;non alimentare;"con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivit… prevalente: vendita accessori per bagno 
";art.per l'arredam.del bagno;settore non alimentare;254
VIA HOEPLI ULRICO N. 5 ,via hoepli ulrico 005, isolato:384, accesso: accesso esterno, (z.d. 1);16/09/1991;VIA ;HOEPLI ULRICO;5;;190;1;;;;;;non alimentare;;libreria;xiv sub 3;1390
VIA HOEPLI ULRICO N. 3 ,via hoepli ulrico 003, isolato:384, accesso: accesso esterno, (z.d. 1);29/03/1989;VIA ;HOEPLI ULRICO;3;;190;1;Permanente;;;;;Non Alimentare;;articoli sportivi;xiv sub 6,xiv sub 2,ix;291
PTA BOSSI MAURILIO N. 4 ,pta bossi maurilio 004, isolato:367, accesso: accesso esterno, (z.d. 1);08/01/1991;PTA ;BOSSI MAURILIO;4;;116;1;;;;;;non alimentare;;antichita' e oggetti d'arte,an;xiv sub 4;400
GLL PASSARELLA N. 1 ,gll passarella 001, isolato:360, accesso: accesso esterno, (z.d. 1);02/10/1989;GLL ;PASSARELLA;1;;303;1;;sisley;;;;non alimentare;"abbigliamento 
";abbigliamento;settore non alimentare;437
CSO INDIPENDENZA N. 24 , isolato:007, accesso: accesso esterno, (z.d. 4);01/01/2000;CSO ;INDIPENDENZA;24;;3118;4;;;;;;non alimentare;;mobili;xii sub 2,xii sub 3,xii sub 1,xiv sub 4,x;850
VIA VENINI GIULIO E CORRADO N. 46 , isolato:346, accesso: accesso esterno, (z.d. 2);01/01/2000;VIA ;VENINI GIULIO E CORRADO;46;;2258;2;;;;;;non alimentare;;mobili;xii sub 2,xii sub 1,x,xii sub 3;251
CSO BUENOS AIRES N. 28 , isolato:082, accesso: accesso esterno, (z.d. 3);28/05/1993;CSO ;BUENOS AIRES;28;;2129;3;;prenatal;;;;non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";art.per la mamma e il bambino articoli;settore non alimentare;500
VIA BORDIGHERA N. 12 (z.d. 5);01/01/1988;VIA ;BORDIGHERA;12;;5265;5;;;;;;non alimentare;;;xiv-tappezzeria e moquettes,xiv-moto e cicli,xiv sub 20;480
VLE GORIZIA N. 14 , isolato:056, accesso: accesso interno, (z.d. 6);01/01/2000;VLE ;GORIZIA;14;;5156;6;;;;;;non alimentare;;in attesa di revoca;xiv sub 54;400
VLE EGINARDO N. 15 , isolato:209, accesso: accesso esterno, (z.d. 8);15/05/1989;VLE ;EGINARDO;15;;6366;8;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: vendita di fiori, piante e relative attrezzature
";fiori e piante;settore non alimentare;826
CSO MATTEOTTI GIACOMO N. 14 ,cso matteotti giacomo 014, isolato:316, accesso: accesso esterno, (z.d. 1);01/01/1988;CSO ;MATTEOTTI GIACOMO;14;;218;1;;;;;;non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";giocattoli;settore non alimentare;267
PLE FERRARA N. 2 interno merc. comun. coperto, isolato:125, pto strada:cs, accesso: accesso interno, (z.d. 4);04/08/1995;PLE ;FERRARA;2;;4158;4;;;;mercato comunale coperto;;alimentare,non alimentare;",generi di drogheria quali: dadi, acque minerali, scope, spazzole ed affini, liquidi infiammabili in recipienti sigillati non superiore ai gr. 100 ecc. generi di profumeria, generi di panetteria, generi di pasticceria quali: cioccolato, caramelle, torroni ecc., casalinghi ed accessori per animali, prodotti surgelati. 
,";drogheria;xiv sub 48,xiv sub 1,i (cont.anteced. d.m. 375/88);536
GLL BUENOS AIRES N. 13 , isolato:060, accesso: accesso esterno, (z.d. 3);29/03/1989;GLL ;BUENOS AIRES;13;;2146;3;;emporio del libro;;;;non alimentare;;libreria;settore non alimentare;430
GLL PASSARELLA N. 2 ,gll passarella 002, isolato:360, accesso: accesso esterno, (z.d. 1);17/11/1993;GLL ;PASSARELLA;2;;303;1;;oviesse;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente:commercio al minuto di articoli di abbigliamento e accessori 
";abbigliamento;settore non alimentare;750
VLE FAMAGOSTA N. 44 , isolato:077, accesso: accesso esterno, (z.d. 6);01/01/1989;VLE ;FAMAGOSTA;44;;5353;6;;;;;;non alimentare;;mobili;xiii (cont.antec. d.m. 375/88),xii sub 3,x,xiv sub 42,xii sub 1;430
VIA TORINO N. 51 ,via torino 051, isolato:397, accesso: accesso esterno, (z.d. 1);01/03/1989;VIA ;TORINO;51;;543;1;;blue basic;;;;non alimentare;"abbigliamento, prodotti per la casa, ufficio, tempo libero ecc. 
";abbigliamento;settore non alimentare;330
VIA TORINO N. 21 ,via torino 021, isolato:446, accesso: accesso esterno, (z.d. 1);01/01/2000;VIA ;TORINO;21;;543;1;;;;;;non alimentare;;abbigliamento uomo;xi (cont.ant. d.m. 375/88),ix (cont.antec. d.m. 375/88),xiv-bigiott.ornam. e minuter.,xiv-biancheria intima,xiv-valig.non in pelle ne'cuoi,xiv-access. abbigliamento,x;270
PZA VESUVIO N. 19 , isolato:280, accesso: accesso esterno, (z.d. 7);01/01/2000;PZA ;VESUVIO;19;;6110;7;;;;;;non alimentare;;in attesa di revoca;xiv sub 20,x;1200
VIA ROSSI PELLEGRINO N. 93 , isolato:153, accesso: accesso esterno, (z.d. 9);01/01/2000;VIA ;ROSSI PELLEGRINO;93;;1510;9;;;;;;non alimentare,tabella speciale carburanti;;carburanti e lubrificanti;xiv sub 54,speciale distrib. carburante;910
VIA CAMOZZI GABRIELE N. 7 art. 38 c.4 r.r. 3/2000, isolato:133, accesso: accesso esterno, (z.d. 7);30/09/1995;VIA ;CAMOZZI GABRIELE;7;;6769;7;;edil piave srl;;;;non alimentare;"materiale per edilizia ferramenta attrezzature 
";materiali da costruzione;settore non alimentare;340
VIA SCANINI ALESSANDRO N. 9 , isolato:080, accesso: accesso esterno, (z.d. 7);01/01/2000;VIA ;SCANINI ALESSANDRO;9;;6755;7;;;;;;non alimentare;;combustibili;xiv sub 11;512
VIA VAL DI SOLE N. 12 , isolato:166, accesso: accesso esterno, (z.d. 5);27/12/1994;VIA ;VAL DI SOLE;12;;4295;5;;unes supermercati;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;310
VIA VARESINA N. 92 , isolato:237, accesso: accesso esterno, (z.d. 8);27/12/1994;VIA ;VARESINA;92;;7290;8;;unes;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;300
VIA BIGLI N. 22 ,via bigli 022, isolato:314, accesso: accesso esterno, (z.d. 1);04/01/1997;VIA ;BIGLI;22;;224;1;;tecno;;;;non alimentare;;mobili;xii sub 1,xii sub 2,x;430
VIA ZANELLA GIACOMO N. 61 , isolato:246, accesso: accesso esterno, (z.d. 4);01/01/2000;VIA ;ZANELLA GIACOMO;61;;3257;4;;;;;;non alimentare;;in attesa di revoca;xiv sub 10;1500
VIA BARONA N. 21 , isolato:093, accesso: accesso esterno, (z.d. 6);01/01/2000;VIA ;BARONA;21;;5356;6;;;;;;Non Alimentare;;;;500
VIA PASSO BUOLE N. 4 , isolato:198, accesso: accesso interno, (z.d. 5);01/01/2000;VIA ;PASSO BUOLE;4;;4218;5;;;;;;non alimentare;;cose usate senza pregio,rigat.;xiv sub 21;400
